#EXPORTTYPE:                 	DATA ALL                                                                                                                             
#FILE:                       	20260224_Mg_SiO2_stoich_loose_Ar_5Kmin.ngb-ss5                                                                                       
#FORMAT:                     	NETZSCH5                                                                                                                             
#FTYPE:                      	ASCII                                                                                                                                
#IDENTITY:                   	LOOSE_MgSiO2                                                                                                                         
#DECIMAL:                    	COMMA                                                                                                                                
#SEPARATOR:                  	TAB                                                                                                                                  
#MTYPE:                      	DTA                                                                                                                                  
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                    
#PROJECT:                    	THREAD                                                                                                                               
#DATE/TIME:                  	24/02/2026 18:39:34 (UTC+1)                                                                                                          
#CORR. FILE:                 	                                                                                                                                     
#TEMPCAL:                    	20260212_DTATG_CAL_AR_5KMIN_quadratic_T.ngb-ts5                                                                                      
#SENSITIVITY:                	20260212_5Kmin_DTATG_Ar_sens.ngb-es5                                                                                                 
#LABORATORY:                 	Politecnico Milano                                                                                                                   
#OPERATOR:                   	PARAVAN                                                                                                                              
#REMARK:                     	Mg + SiO2 stoichiometric. loose powder  heating program: 20 K/min Ar 0 50 20  T_start=25  C T_end = 850 C  m_sample_mettler = 0.01566
#SAMPLE:                     	LOOSE_MgSiO2                                                                                                                         
#SAMPLE MASS /mg:            	15.6245                                                                                                                              
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                     
#REFERENCE:                  	-                                                                                                                                    
#REFERENCE MASS /mg:         	0                                                                                                                                    
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                    
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                    
#TG RANGE /mg:               	35000                                                                                                                                
#TAU-R:                      	---                                                                                                                                  
#CORR. CODE:                 	000                                                                                                                                  
#EXO:                        	+1                                                                                                                                   
#RANGE:                      	25 C/20.0(K/min)/850 C                                                                                                               
#SEGMENT:                    	S1/3                                                                                                                                 
#SEG. 1:                     	25 C/20.0(K/min)/850 C                                                                                                               

##Temp./ C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
 18.79300	 0.69000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79300	 0.70000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79300	 0.71000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79300	 0.72000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79300	 0.73000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79300	 0.74000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79300	 0.75000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79300	 0.76000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.77000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.78000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.79000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.80000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.81000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.82000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.83000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.84000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.85000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.86000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.87000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.88000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.89000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.90000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 0.91000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 0.92000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 0.93000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.94000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79200	 0.95000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 0.96000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 0.97000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 0.98000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 0.99000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 1.00000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 1.01000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 1.02000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79100	 1.03000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.04000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.05000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.06000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.07000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.08000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.09000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.10000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.11000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.12000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.13000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.14000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.15000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.16000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.17000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79000	 1.18000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.78900	 1.19000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 19.19200	 1.20000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 18.78900	 1.21000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 19.19200	 1.22000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.23000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.24000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.25000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.26000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.27000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.28000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.29000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.30000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19100	 1.31000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.32000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.33000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.34000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19200	 1.35000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19100	 1.36000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19100	 1.37000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19100	 1.38000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
 19.19100	 1.39000	 0.98754	100.58178	0.000000e+000	50.00000	20.00000	0.30859
